"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SRR1554534","SRR1554535","SRR1554568","SRR1554561","SRR1554567","SRR1554536","SRR1554541","SRR1554539","SRR1554538","SRR1554537"
"ADAMTS6",525.698013718525,2.43899531156083,0.436489630874247,5.58775086289166,2.30029327476678e-08,8.95388578075761e-08,7.59178574115297,7.29775184284718,10.3368421603382,7.00187401677257,9.09487131790315,7.80854364411227,8.6219750154898,8.13973350662314,9.26557968133412,9.57067185010913
"ADAMTS7",3706.63787121309,4.93516887390634,0.389598719360846,12.6673128751622,8.97359744925353e-37,4.30872019139468e-35,8.35364890315052,8.24055773721094,12.5077055968808,7.91339766477178,12.4580114650246,9.11393787664056,11.6146140286724,7.43493154601731,12.8745806546256,12.4874761201993
"ADAMTS8",2218.14404273949,-3.43278506503151,0.508368633403337,-6.75255088428707,1.45268089168916e-11,8.24216486840589e-11,11.8115091544483,11.4155844411168,7.30363759981616,12.4000531780999,9.20972190719505,10.7243906588471,9.63605389755104,11.5474709515076,8.17453956290226,8.6068112843789
"ADAMTS9",1730.70008131386,2.04809197033245,0.430539482186211,4.75703635804216,1.96455796822129e-06,5.99448011578238e-06,9.49291924279446,9.2231291222038,10.0624254931304,9.13822367601527,10.927325984858,10.1882313910899,11.4748409346327,9.45814914758231,10.7986422350577,12.0932368154301
"ADAMTSL1",2038.18936192123,2.96912030607164,0.54836083371961,5.41453751525555,6.14473197508812e-08,2.27172886338684e-07,9.55728792407294,9.0810375320893,12.2927676015056,9.20260951571486,11.0266405769776,7.38683204529728,12.0040054960349,9.25793370314844,11.3511941252058,9.81406710300918
"ADAMTSL2",686.198638875284,-2.43596260805609,0.349772372665111,-6.96442257430205,3.29753431733298e-12,2.0119644072725e-11,10.26190967773,9.73107423727767,7.67797874804117,10.5147260483658,8.10417777983054,9.00758892793623,7.82631178430578,9.58620561748738,8.28764045715406,8.02686977407581
"ADAMTSL3",1978.11834629409,2.76865381932135,0.593736725803218,4.66310015701971,3.11481060727327e-06,9.20628690480827e-06,9.12553742481712,9.20056109935671,8.29399553659908,8.66048687647019,10.8725132399286,9.58117542969043,12.3104643716014,9.16040674650324,11.4476738149597,11.9149988235431
"ADAMTSL5",305.276170601051,-2.15346665487661,0.562191567778204,-3.83048551117045,0.000127890664190615,0.000298282932425871,8.15875997429076,8.14382616283896,7.41192899728232,8.27795852314084,6.96112394755672,9.75586366788917,7.22675491526076,7.39410919670137,6.1594760657307,7.13508201536894
"ADAP1",17118.468056937,-3.2580055718218,0.394045749438294,-8.26808962275583,1.36122552127716e-16,1.31949265106371e-15,15.0128488864486,14.5092666492883,10.7398965862194,15.0769001843384,11.9082578081789,14.22770132156,12.6542756811227,14.3167612486824,11.4710179018446,12.0072636304283
"ADARB2",1325.51362556144,-2.3844116674267,0.391897825054601,-6.08426869195944,1.17024212395179e-09,5.34035226635731e-09,11.0753821063977,10.9929612236017,7.96450818840237,11.283451815621,9.58354681145536,10.1983152877475,9.13218880673488,10.6952534690544,9.01778780321841,8.39009608262883
"ADAT2",1155.69482468488,1.38953497002,0.188976000175975,7.35297058211661,1.93849613346631e-13,1.34822711288901e-12,9.07898436029945,9.67324712994773,10.5504885788464,9.26963948802088,10.5493975879959,9.55925243356871,10.7717558616712,9.58214869477131,10.4427717773212,10.5751043997024
